Product,Rating,Review
iPhone 15,5,"Just upgraded from iphone 12 to 15 and I totally loved this 15 series.
Camera:- No doubt iphones camera are best of any other smartphone, primary camera is now 48mp which gives quite sharp images, 2x ..."
iPhone 15,5,"Camera is good but not too good like other camera phone.
Performance is good but missed 90hz display.
Battery is good enough for a day use.
Sound is quite awesome like no other phones
Rest phone is go..."
iPhone 15,5,Very nice product☺️☺️we loved the phone very much
iPhone 15,5,Telephone: 044-45614700 / 044-67415800
Samsung S24,5,"The phone offers exceptional performance.
The camera's capabilities are impressive.
The user interface is highly intuitive.
It is exceptionally user-friendly."
Samsung S24,5,Camera is just wow looking it everything is best but the battery is the real problem of this problem
Samsung S24,5,"Powerful performance, excellent display,compact size and amazing camera making it an allrounder phone. The only drawback is battery life."
Samsung S24,5,"It's camera, galaxy AI features,circle to search,high peak brightness, telephoto camera,more customization options, display,samsung inbuit apps,privacy features, sound quality i could say I'm obsessed..."
Samsung S24,5,"After using S24 for 4 days am writing this review overall a good compact and a handy phone if you want a beast camera, clean UI, battery backup is slightly less but it's okay for average use if you wa..."
Samsung S24,5,"There is no need for further elaboration. The provided images effectively showcase the excellent camera capabilities of this phone. However, in practical daily use, the device experiences battery back..."
Samsung S24,5,"Best phone under 40k. Superb camera, display, processor. Compact and handy. Battery should be better. Other than this, all the features are awesome."
Samsung S24,5,"Best flagship smartphone under this price 👌 
Nice camera 📷 
Good performance 
Best display 👌 
Battery- it lasts almost full day for normal user."
Samsung S24,5,"Camera qulity and build qulity , sound qulity of this phon is oustanding. But normal hitting isshue experiance in this phone"
Samsung S24,5,"Excellent product and  worth it to buy , if there is an option to choose iphone15or16 and s24 then i would go with s24"
Samsung S24,5,One of the Best camera phone .
Samsung S24,5,I feel the phone is getting hot very fastly apart from that camera and performance is good
Samsung S24,5,"Good compact phone and having good camera but facing issu in battery because it's 4000 mah and it's not lasting for whole day. I have to carry power bank.

I am sharing sample of photos.. it's light b..."
Samsung S24,5,"Superb phone
Compact monster 💥 
Little power house💥
Nice camera😍
Top display 🫰
Battery back is average 👎😢"
Samsung S24,5,"Like others, I was also initially concerned about its smaller battery capacity and slow charging speed before buying it. 

But one thing I would like to mention for whoever is planning to buy it now (..."
Samsung S24,5,Very nice phone
Samsung S24,5,Battery performance is poor apart from battery for all specifications mobile is good
Samsung S24,5,"This phone is very awesome all over performance, camera, look, build quality is very good, only samsung should provide more battery capacity with this phone...Overall all is great !"
Samsung S24,5,"I held this phone for the first time, and I was really appreciative of this product because it's an amazing phone in this segment.

Camera: 5/5
Display: 5/5
Performance: 5/5
Design: 5/5
Value for money: 5/5"
Samsung S24,5,I got the phone today the behaviour of delivery agent was awesome... for now i can only say good compact phone with awesome camera and processor a bit dissapointed with the battery and heating issue.....
Samsung S24,5,"This phone is a beast! It's super fast, the screen is stunning, and the cameras are top-notch. The new Galaxy AI features are actually very practical. Fits perfectly in the hand and pocket. The batter..."
Samsung S24,5,"Best phone under 40k, better than expected, Best time to buy last year flagship phone this BBD. Battery can be concerned for heavy user otherwise it's fine for medium to lite user. Just go for it."
Samsung S24,5,Best phone go for it.
Samsung S24,5,Today received this phone. It's just outstanding.  Battery is good. I m not facing any kind of Heating issue. Camera is far better than I phone. Just shared a photo of my friend in low light.
Samsung S24,5,This is absolutely one of the best deals I've ever bought. The performance is fantastic; that premium feel is divine. The camera is smooth. You cannot get a better camera at this price. Gaming feels e...
Samsung S24,5,Look wise best. Battery wise average. It discharges faster.  Storage and technologies are best. Overall lovely phone.
Samsung S24,5,"Overall good performance,  look , display!/// just they need to think about battery give upto 5 to 6 hr screen on time but if you use normly without gamming it can support a Day!"
Samsung S24,5,The Samsung Galaxy S24 is a masterpiece when it comes to design and aesthetics  It feels incredibly premium in hand and the performance is top tier The camera quality is outstanding  capturing sharp a...
Samsung S24,5,"The interface is clean and fast. The Android 16 update is really snappy. 
The cameras are good, the telephoto camera could have been better, the quality feels like crop of the main camera. 
The batter..."
Samsung S24,5,Very nice product it's better than iphone 15 or 16
Samsung S24,5,Very nice samsung s24 phone
Samsung S24,5,Go for it damn good phone for the price flexible and full of features the camera quality is also superb
Samsung S24,5,"Overall very good smartphone. Not for heavy users or professional photographers. Very crisp display. Very fast. Battery drains fast, light to medium users can use it full day with 1 time charge."
Samsung S24,5,Excellent product battery upto 8hrs without gaming
Samsung S24,5,"Amazing smartphone, awesome camera"
Samsung S24,5,"Camera 📸 10/10
Performance 🎮 10/10
Battery 🔋 8/10
This phone only have 4000 mh battery but give good backup this phone capture better photo in night as compare to iphone 13 14 15 16 in half price t..."
Samsung S24,5,Android version of iphone. New UI is cool. Smooth as fk.
Samsung S24,5,"Good camera, decent battery life. Good Performance.

Overall, a decent phone if you get it at around 40k"
Samsung S24,5,Many videos i have seen battery problem. Iam not a heavy user or gamer .from 4 days i didnt feel any heavy battery draining issue.I was using old mobile before so i am having habit of using power savi...
Samsung S24,5,Greet camera very smooth  display 👌 😎 👏
Samsung S24,5,best camera phone.  and i got snapdragon 8gen3  variant  thats why best performance compact phone....
Samsung S24,5,"Premium, unexpected delightful smartphone
Camera and performance is good 
Battery is slightly not up to the mark.
It lasts hardly for a day with moderate use￼"
Samsung S24,5,"I'm writing this review after 3 months. This device is powerful and excels in every aspect, whether it's the camera or performance. I was hesitant about the battery during purchase, but it has great o..."
Samsung S24,5,Overall value for money flagship phone.
Samsung S24,5,best camera phone at this price range✨️
Samsung S24,5,"Its a wonderfull mobile best mobile in 35k to 40k budget. 

Camera - best camera, you can compare it to S24ultra
Display - Best in the class
Battery - my screen time 4hrs to 5hrs, I have to charge it ..."
Samsung S24,5,All performance superb but little battery performance low i am happy no problem I can charge evening and morning
Samsung S24,5,Best phone.  I like it 👌
Samsung S24,5,Best phone 🤳
Samsung S24,5,Excellent phone but battery life could have been better
Samsung S24,5,"Awesome phone,Go for it😍"
Samsung S24,5,Nice product with best build up. Camera and all features are awsome except battery.
Samsung S24,5,Telephone: 044-45614700 / 044-67415800
OnePlus 13,5,"This is a great phone, with excellent camera, display, and Oxygen OS. I've also included some camera samples, please check them out. I PU"
OnePlus 13,5,This phone is the beast phone. I just love it
OnePlus 13,5,I believe the camera could have been better and the battery is good enough and it lasts for 1 day in moderate use and display is superb and front facing selfie is average I can say and could have been...
OnePlus 13,5,"Best value phone and camera is super 
Cons need to fix camera and oxygen os"
OnePlus 13,5,What a lovely phone... If u r confused btwn this nd iqoo...simply go for it... You will not regret.
OnePlus 13,5,Wow. Never used any flagship phone before. This one is a beast. I am the owner for just 5 days.
OnePlus 13,5,"I am user of One plus 6t now I decide to upgrade version of One plus bought this beast 13 less size difference between 6t and 13 
After one day used i came to know that only battery is not upto the ma..."
OnePlus 13,5,I like this phone and photos
OnePlus 13,5,"Everything is just perfect and flawless.
Only negative is that the camera module is too big at the back.
Which is subjective and depends on person to person.
Camera would have done much better in he f..."
OnePlus 13,5,"I loved this oneplus 13. I used Iqoo neo 9 pro before . Even used redmi, samsung mobiles as well. Compare to neo 9 pro. It's a beast in all segments. I am only a bit dissatisfied with the camera modul..."
OnePlus 13,5,Everything is class apart about the device except the battery backup it's drain very fast one can't expect such issue in this kind of flagship killer specially with snapdragon elite one plus needs to ...
OnePlus 13,5,"Amazing phone for this price. Even beats iphone in many ways.
Pros 
1. Battery life is great. Charges very fast. I have limited the charging to 85% and still it lasts the whole day easily. After a yea..."
OnePlus 13,5,"Observing Frequent Heating, Even nothing running in backend phone still heating."
OnePlus 13,5,"Good phone, camera is good, battery is good but will last around 12 hr for moderate to consistent use. So far good experience as I moved from oneplus nord 2 to 13."
OnePlus 13,5,"Oneplus 13 has Worst selfie camera among all oneplus Mobiles.
Rear camera is awesome you can zoom to 120x
Captured moons surface clearly"
OnePlus 13,5,Best compact phone 🔥
OnePlus 13,5,Amazing smartphone at this
OnePlus 13,5,At this price you will never get the smart phone lik
OnePlus 13,5,Very good camera
OnePlus 13,5,Shifted from apple to OnePlus. Battery is the first thing you will love. Lasts 24 hours of moderate to heavy use. Camera is good. I miss some iphone features like long pressing click to record video a...
OnePlus 13,5,Great phone in this price
OnePlus 13,5,"Except for the battery all other things are exceptional. The battery is a big disappointment, better to go with a Samsung flagship phones."
OnePlus 13,5,"Excellent performance. Not the greatest camera in the segment but still perfect for daily normal use, very snappy and constant with the photo outputs. The 6000mah battery doesn't seem to last 2 days (..."
OnePlus 13,5,Best oneplus phone battery backup is good.
OnePlus 13,5,"Seller : Zphone 
Sold me a pre activated / old phone 
and isn't even listening.

I received phone on 6th May 2026

Phone already activated date : 19 October 2025

9 months warranty already doomed"
OnePlus 13,5,"Seller 'ZPhones'
They sold pre- activated phones. I ordered the phone on the 26th of April and received it on 29 of April and when i checked the phone was used for one month."
OnePlus 13,5,Worst battery average camera go for vivo or oppo find instead of o
OnePlus 13,5,The camera is not that worthy of quality. Battery backup is also not good enough. Looks like this is a faulty series not worth the price. Definitely the price will slash by more than half next year
OnePlus 13,5,Flagship phone
OnePlus 13,5,What ever reviews are there online looks completely fake and it is paid reviews . Camera is worst better dont purchase this phone if your main priority is camera
OnePlus 13,5,Telephone: 044-45614700 / 044-67415800
Nothing Phone 4a,5,Good phone but price drop is required!!!
Nothing Phone 4a,5,"Go for it reviewing after 10 days of use.
Used almost every brand phones you feel unique.
My preference skip 4a pro go with 4a 256 variant."
Nothing Phone 4a,5,Camera and performance both are top notch. Battery(5400 mah) is well optimised feels like a 6000 mah battery. It feels very buttery to use the phone. This phone is quite well. The only problem that no...
Nothing Phone 4a,5,"This is an honest unpaid review, so you can definitely trust this, first of all I'll start with camera i don't understand what is the problem with the camera it is so bad at 1x but in 3.5x it's amazin..."
Nothing Phone 4a,5,So I have been using this phone about 15 days and so far so my experience is very good camera is inconsistent but gives you very expressive output most of the time and display is very good very sharp ...
Nothing Phone 4a,5,"Good camera performance( need more software optimisation for maximum capacity of the sensors. Battery need to optimized more for good battery backup 
Design 📈
Performance- decent 
Good software exper..."
Nothing Phone 4a,5,Nothing 4a is the best phone.. Good experience.valuable phone
Nothing Phone 4a,5,Awesome Smartphone
Nothing Phone 4a,5,Nothing 4a phone camera nice and battery backup good but I think so price is very high this product quality and performance like 25k
Nothing Phone 4a,5,"Amazing performance in this range,best camera setup, battery backup should be increased,overall vary good phone"
Nothing Phone 4a,5,"The exchange and bank offers are excellent.
The phone is also great.
I'm happy ☺️"
Nothing Phone 4a,5,"The phone is good , the camera and battery is Good 👍"
Nothing Phone 4a,5,I Love This Brand Phone Thank you Nothing for giving this type of featured phone
Nothing Phone 4a,5,Product is good. But flipkart exchange policy not good.and camera needs to some improvement update can be fix some issue
Nothing Phone 4a,5,"Best in design,camera and performance and clear OS .
Some Battery optimization is needed but one suggestion for nothing improve battery capacity in NXT phones .
Ai photo eraser performance is very bad..."
Nothing Phone 4a,5,Camera Is too Good Brother 1 x Is Good But 3.5 is too good for potrait video all battery is average it is draining but overall good battery cause it can Last 6-8hr in heavy use except gaming PUBG 120 ...
Nothing Phone 4a,5,Looks premium and Superb performance and camera.
Nothing Phone 4a,5,Best  phone under this
Nothing Phone 4a,5,"After using it for one week I regret my decision of buying this phone. The unique design is only positive. Battery is pathetic and has to be charged 2-3 times a day. Also, takes 50-60 mins for 70% cha..."
Nothing Phone 4a,5,This phone cemara is to good . zooming power next level 👍👍
Nothing Phone 4a,5,This is a great phone. Specifications are so good with clean UI and Terrific Camera. As always the design is very unique! Thanks Nothing and Flipkart
Nothing Phone 4a,5,"After using this device for 15 days i can say that camera hardware is very good but it is not consistent and for the users who previously used compact phone this phone may feel bulky to you

Overall t..."
Nothing Phone 4a,5,Value for money camera also good but build quality is moderate
Nothing Phone 4a,5,Great phone/ Good Camera/ battery last long 1-1.5 day/ built quality top notch looks amazing and futuristic 😍 value for money
Nothing Phone 4a,5,"Love the OS
Primary camera is not good, but 3.5x Periscope Telephoto Camera is excellent.
Camera consistency not good."
Nothing Phone 4a,5,Good product but they need to increase the battery performance as it is draining fast.overall good
Nothing Phone 4a,5,Phone is good but battery need to more long lastic . camera is fabulous.
Nothing Phone 4a,5,"Good in this price range, also camera is better than all of other brands camera in this price range"
Nothing Phone 4a,5,Amazing phone
Nothing Phone 4a,5,"Good product at all
I am iphone user 13 pro max
I am fully satisfied i got it at 20000 almost by bank disount and exchnage bonus too.  Full worth"
Nothing Phone 4a,5,One of the best phone 😍😍
Nothing Phone 4a,5,"True flagship, overall best phone in this price range .
Looks and Camera are superb ."
Nothing Phone 4a,5,"Good Feeling like a iphone 
Android Os + I Phone Look massive combin"
Nothing Phone 4a,5,I love this phone value for money
Nothing Phone 4a,5,"Good phone with great performance only there are limited ringtones you have to choose from web sources 
Camera is awesome 
Battery is good enough 
Design is super cool"
Nothing Phone 4a,5,It's really better phone I ever seen.
Nothing Phone 4a,5,"Display flickering problem.
 This is a brand new model.
 My brother aslo use Nothing 3a
 This is 2025 best phone.
 But nothing 4a lot bug and problem 
 I request to the company.
 As soon as possible f..."
Nothing Phone 4a,5,"Perfact features and good looking phone .....value for money..... battery backup is some poor.....all over good phone👍....👉note :-While exchanging the phone, they find small mistakes and deduct mone..."
Nothing Phone 4a,5,The best looking phone yet.
Nothing Phone 4a,5,The battery is draining fast on normal usage.It needs some optimization
Nothing Phone 4a,5,"Awesome Phone....
Is is allrounder phone and it's glyph bar is to good."
Nothing Phone 4a,5,Gave me the iphone experience 😉
Nothing Phone 4a,5,"Good looking, smooth functioning and pretty good camera."
Nothing Phone 4a,5,"The camera is one of the best in its segment and captures excellent photos in good lighting conditions. However, low-light photography could be improved, as the results are not always consistent. The ..."
Nothing Phone 4a,5,"Premium design, smooth performance, excellent display, and good battery life. The camera clicks clear photos, and Nothing OS feels clean and fast. Overall, a value-for-money smartphone. Highly recomme..."
Nothing Phone 4a,5,Good phone to buy for Nothing fans
Nothing Phone 4a,5,"After using it for a while I can say that the battery performance and the Cameras is what i expected, build quality is nice. The phone feels really heavy and big, bigger than i expected. And due to it..."
Nothing Phone 4a,5,Grade phone thx ft
Nothing Phone 4a,5,"The software and performance are very much up to the mark but the camera disappointed me not going to lie. I upgraded to 4a from 3a pro hearing the 3.5x periscope but to be honest, the 3.5x periscope ..."
Nothing Phone 4a,5,"In one sentence... this is the best all-rounder smartphone in thik budget range!!
Just awesome 👍🏻😎"
Nothing Phone 4a,5,Highly recommend phone budget friendly.mmmmmmmmmmmmmmmmmmmmmmmmmmmmmmm
Nothing Phone 4a,5,"Nothing is a great brand, and the Nothing Phone (4) is especially impressive. I am sharing this after using the phone for a month, and my experience has been excellent. Highly recommended."
Nothing Phone 4a,5,"Best camera phone in 30k. Budget friendly phone.
Camera is top notch quality."
Nothing Phone 4a,5,Assem phone highly recommend
Nothing Phone 4a,5,"Overall nice phone, camera, display, build quality , performance are good 
Battery capacity is low"
Nothing Phone 4a,5,"Most impulsive buy of my whole life. 
Didn't do any research on the current market phones in this budget. 
Didn't regret my decision.
Really great phone. 
Insane for day to day usage. 
Battery life fo..."
Nothing Phone 4a,5,Honestly great product but a bit expensive for the specs. The camera is good but it might be better as other phones in this price range offer better camera than this one. But it has unique look and fe...
Nothing Phone 4a,5,Good phone. The network catching capacity needs to improve. The rest is good so far.
Nothing Phone 4a,5,Overall good phone
Nothing Phone 4a,5,"Good camera, Good battery life, sound quality awesome glyph lights good but sometimes it's not working properly. All over performance is good give to 4("
Nothing Phone 4a,5,Overall a decent phone under 25k
Nothing Phone 4a,5,Amazing phone at this rate👌
Nothing Phone 4a,5,Overall a good phone
Nothing Phone 4a,5,You get an extremely smooth experience while using this phone.
Nothing Phone 4a,5,Telephone: 044-45614700 / 044-67415800
